text
{"text":"[INST] You are a UK customs classifier. Classify under the UK Trade Tariff (GIR 1-6) and assess representation risk.\n\nRules: apply GIR in order; justify logically; flag indirect representation if importer is non-UK established; never guess without reasoning.\n\nProduct:\nSports water bottle with integrated filter straw and carabiner clip, from China\n\nReturn structured output only. [/INST]\n\nHS_CODE: 3924100000\nCONFIDENCE: 0.80\nGIR: 1, 3b, 6\nREPRESENTATION: 3\nINDIRECT_REQUIRED: true\nRISK_LEVEL: MEDIUM\nREASON: Multi-component plastic article. GIR 3(b): essential character is drinking vessel (heading 3924). Filter and clip are ancillary. Non-UK importer triggers indirect rep."}
{"text":"[INST] You are a UK customs classifier. Classify under the UK Trade Tariff (GIR 1-6) and assess representation risk.\n\nRules: apply GIR in order; justify logically; flag indirect representation if importer is non-UK established; never guess without reasoning.\n\nProduct:\nDual-use encryption software on physical media, exported from USA, end-user unknown\n\nReturn structured output only. [/INST]\n\nHS_CODE: 8523802090\nCONFIDENCE: 0.85\nGIR: 1, 6\nREPRESENTATION: 3\nINDIRECT_REQUIRED: true\nRISK_LEVEL: HIGH\nREASON: Dual-use goods recorded medium classified under heading 8523. CRITICAL: UK Strategic Export Controls apply. Missing End-User Undertaking (EUU) and OGEL licence verification (DE 2/3 X002). Indirect representation required. Potential HMRC SECU referral."}
{"text":"[INST] You are a UK customs classifier. Classify under the UK Trade Tariff (GIR 1-6) and assess representation risk.\n\nRules: apply GIR in order; justify logically; flag indirect representation if importer is non-UK established; never guess without reasoning.\n\nProduct:\nElectric vehicle battery module, 40kWh, lithium-iron-phosphate, from China, importing to UK for research lab\n\nReturn structured output only. [/INST]\n\nHS_CODE: 8507600000\nCONFIDENCE: 0.88\nGIR: 1, 6\nREPRESENTATION: 3\nINDIRECT_REQUIRED: true\nRISK_LEVEL: HIGH\nREASON: Lithium accumulator classified under heading 8507. UN38.3 test report required. Research lab import may qualify for CPC 40 00 C26 relief (scientific instruments). Non-UK entity requires indirect representation. HMRC EPSS relief application recommended."}
{"text":"[INST] You are a UK customs classifier. Classify under the UK Trade Tariff (GIR 1-6) and assess representation risk.\n\nRules: apply GIR in order; justify logically; flag indirect representation if importer is non-UK established; never guess without reasoning.\n\nProduct:\nLithium-ion battery pack, 100kWh industrial grade, air-freight, from China — no UN38.3 test report declared\n\nReturn structured output only. [/INST]\n\nHS_CODE: 8507600000\nCONFIDENCE: 0.90\nGIR: 1, 6\nREPRESENTATION: 3\nINDIRECT_REQUIRED: true\nRISK_LEVEL: HIGH\nREASON: Lithium accumulator classified under heading 8507. CRITICAL: Air transport of Li-ion batteries requires IATA DGR UN3480 declaration and UN38.3 test certification (DE 2/3 Y923). Missing documentation blocks clearance. Non-UK importer; indirect representation mandatory."}
{"text":"[INST] You are a UK customs classifier. Classify under the UK Trade Tariff (GIR 1-6) and assess representation risk.\n\nRules: apply GIR in order; justify logically; flag indirect representation if importer is non-UK established; never guess without reasoning.\n\nProduct:\nElectric vehicle battery module, 40kWh, lithium-iron-phosphate, from Germany, importing to UK for research lab\n\nReturn structured output only. [/INST]\n\nHS_CODE: 8507600000\nCONFIDENCE: 0.88\nGIR: 1, 6\nREPRESENTATION: 3\nINDIRECT_REQUIRED: true\nRISK_LEVEL: HIGH\nREASON: Lithium accumulator classified under heading 8507. UN38.3 test report required. Research lab import may qualify for CPC 40 00 C26 relief (scientific instruments). Non-UK entity requires indirect representation. HMRC EPSS relief application recommended."}
{"text":"[INST] You are a UK customs classifier. Classify under the UK Trade Tariff (GIR 1-6) and assess representation risk.\n\nRules: apply GIR in order; justify logically; flag indirect representation if importer is non-UK established; never guess without reasoning.\n\nProduct:\nExternal USB 3.0 hard drive 2TB, from Taiwan\n\nReturn structured output only. [/INST]\n\nHS_CODE: 8471706000\nCONFIDENCE: 0.90\nGIR: 1, 6\nREPRESENTATION: 3\nINDIRECT_REQUIRED: true\nRISK_LEVEL: LOW\nREASON: External magnetic storage classified under heading 8471. Non-UK importer requires indirect representation."}
{"text":"[INST] You are a UK customs classifier. Classify under the UK Trade Tariff (GIR 1-6) and assess representation risk.\n\nRules: apply GIR in order; justify logically; flag indirect representation if importer is non-UK established; never guess without reasoning.\n\nProduct:\nLeather dress shoes, men's, size 42, from Pakistan, imported by UK distributor\n\nReturn structured output only. [/INST]\n\nHS_CODE: 6403510090\nCONFIDENCE: 0.94\nGIR: 1, 6\nREPRESENTATION: 2\nINDIRECT_REQUIRED: false\nRISK_LEVEL: LOW\nREASON: Leather footwear classified under heading 6403. UK-established importer uses direct representation."}
{"text":"[INST] You are a UK customs classifier. Classify under the UK Trade Tariff (GIR 1-6) and assess representation risk.\n\nRules: apply GIR in order; justify logically; flag indirect representation if importer is non-UK established; never guess without reasoning.\n\nProduct:\nLithium-ion battery pack, 100kWh industrial grade, air-freight, from South Korea — no UN38.3 test report declared\n\nReturn structured output only. [/INST]\n\nHS_CODE: 8507600000\nCONFIDENCE: 0.90\nGIR: 1, 6\nREPRESENTATION: 3\nINDIRECT_REQUIRED: true\nRISK_LEVEL: HIGH\nREASON: Lithium accumulator classified under heading 8507. CRITICAL: Air transport of Li-ion batteries requires IATA DGR UN3480 declaration and UN38.3 test certification (DE 2/3 Y923). Missing documentation blocks clearance. Non-UK importer; indirect representation mandatory."}
{"text":"[INST] You are a UK customs classifier. Classify under the UK Trade Tariff (GIR 1-6) and assess representation risk.\n\nRules: apply GIR in order; justify logically; flag indirect representation if importer is non-UK established; never guess without reasoning.\n\nProduct:\nCommercial refrigeration compressor units, containing R-22 refrigerant, from Italy\n\nReturn structured output only. [/INST]\n\nHS_CODE: 8414303100\nCONFIDENCE: 0.86\nGIR: 1, 6\nREPRESENTATION: 3\nINDIRECT_REQUIRED: true\nRISK_LEVEL: HIGH\nREASON: Refrigerating compressor classified under heading 8414. CRITICAL: R-22 is controlled under UK F-Gas Regulations. Import licence from Environment Agency required (DE 2/3 Z003). Non-UK importer; indirect representation mandatory. Environmental compliance risk."}
{"text":"[INST] You are a UK customs classifier. Classify under the UK Trade Tariff (GIR 1-6) and assess representation risk.\n\nRules: apply GIR in order; justify logically; flag indirect representation if importer is non-UK established; never guess without reasoning.\n\nProduct:\nRubber sports trainers, children's, from Indonesia\n\nReturn structured output only. [/INST]\n\nHS_CODE: 6404190000\nCONFIDENCE: 0.90\nGIR: 1, 6\nREPRESENTATION: 3\nINDIRECT_REQUIRED: true\nRISK_LEVEL: LOW\nREASON: Rubber-soled trainers classified under heading 6404. Indonesian origin; indirect representation required."}
